,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,102.1,68.22,-617.028127188763,175004.561804841,3930.14592416423,189.39298839949,,-772.101794596521,196840.808880682,19265.1373837189,,0,189.39298839949,189.39298839949
0.5,98.96,56.2,-732.811891402339,200387.012951145,5620.93832165436,174.15158624575,,-869.324412981119,221957.670650958,22019.1786960146,,28.1,174.15158624575,202.25158624575
1,100.68,48.3,-746.183760045588,198685.781011913,7293.95657236872,163.669641605782,,-870.250231329336,218025.120589989,22269.5969817051,,48.3,163.669641605782,211.969641605782
1.5,100.16,37.88,-723.113671263498,188913.104184663,8718.01552238009,123.965553224323,,-808.532492035585,204079.133107281,20732.2166941077,,56.82,123.965553224323,180.785553224323
2,98.7,29.32,-719.011394018385,187136.110647777,10240.4229542555,96.1329412329101,,-778.870977281386,198943.075463483,20270.3854311991,,58.64,96.1329412329101,154.77294123291
2.5,100.38,23.3,-720.947298785999,187503.021542242,11404.0074960936,88.3790003704563,,-778.023389758518,197024.483408548,19764.2741911063,,58.25,88.3790003704563,146.629000370456
3,98.88,19.92,-783.594396900659,204058.243063627,12974.6434500825,84.8021822695332,,-842.187292557954,213428.236905126,21234.2461184151,,59.76,84.8021822695332,144.562182269533
3.5,101.42,15.26,-770.297566185047,202271.047099551,14338.6764261318,73.3540109545633,,-823.476174528542,209319.450606806,20831.0507103242,,53.41,73.3540109545633,126.764010954563
4,100.22,13.54,-802.115859208456,209918.989621372,14792.1010774595,68.1752575578516,,-853.459177270182,216649.990572171,21062.3702632539,,54.16,68.1752575578516,122.335257557852
4.5,100.06,10.52,-744.539342699308,194455.779293564,15153.2881688626,51.7655325939484,,-782.766814657738,199553.363183164,19927.301924643,,47.34,51.7655325939484,99.1055325939484
5,98.32,9.22,-772.762274954853,202935.958810456,15907.8002719613,54.5919151864404,,-817.794999294048,207928.494140396,20502.031731895,,46.1,54.5919151864404,100.69191518644
5.5,100.56,8.62,-803.719606567264,210656.661567564,17309.2943474356,55.5186920156792,,-850.852630037444,215452.192640425,21815.6245745157,,47.41,55.5186920156792,102.928692015679
6,100.34,7.4,-793.805663304448,207568.415036822,17416.3905825508,55.2514363721482,,-841.861158570151,211540.061932943,21207.991977833,,44.4,55.2514363721482,99.6514363721482
6.5,99.44,6.06,-745.303785655213,193423.677584117,17033.4328968505,36.5879772010186,,-775.591036667257,196479.66603954,19988.4526934353,,39.39,36.5879772010186,75.9779772010187
7,98.06,4.28,-718.712456241237,187467.974202897,16651.5248720939,27.410055515743,,-742.263009511953,189615.119580323,18764.7603598154,,29.96,27.410055515743,57.370055515743
7.5,100.52,5.14,-813.982653877037,212082.509113008,18595.7178444858,40.8074879055184,,-850.250779326419,214968.400437329,21409.0222129718,,38.55,40.8074879055184,79.3574879055184
8,101.92,3.62,-753.454813365807,197202.093951373,17658.7949712757,28.9043204404991,,-779.546987016702,199247.598066797,19593.8131718158,,28.96,28.9043204404991,57.8643204404991
8.5,100.76,3.98,-799.15756154509,207508.069553257,19129.8332500065,29.2804185752005,,-825.449804690773,209699.002989959,21294.2389279988,,33.83,29.2804185752005,63.1104185752005
9,101.66,3.32,-751.749718423493,195269.994869583,18144.9752940143,28.2048770385204,,-777.582842897527,197136.169013586,19953.7494380173,,29.88,28.2048770385204,58.0848770385204
9.5,102.18,3.42,-820.795387462523,213030.288485421,19669.1671932055,37.3256869641087,,-856.415206948803,215076.669908866,21663.5960576098,,32.49,37.3256869641087,69.8156869641087
10,98.8,2.16,-765.056765727562,199959.141489586,18658.5768655637,20.7598865086211,,-784.471475194378,201135.789864547,19835.2252405254,,21.6,20.7598865086211,42.3598865086211
10.5,102.42,2.72,-806.099356461623,207249.907347466,20090.3935263546,29.1060258794754,,-833.488538429193,208878.923882521,21669.4100614095,,28.56,29.1060258794754,57.6660258794754
11,100.1,2.06,-822.372683012133,214866.471778928,20464.0753891352,24.8420821892289,,-845.504244125881,216054.174830338,21651.7784405452,,22.66,24.8420821892289,47.5020821892289
11.5,102.74,2.08,-786.256818502788,203801.442540391,19957.9825270461,21.7589225182132,,-806.867945987954,205002.480122406,21126.0201090605,,23.92,21.7589225182132,45.6789225182132
12,100.08,1.8,-806.476267653092,210151.319642538,20315.5177719853,18.3664185830783,,-824.042141981643,211312.632548407,21402.2306778544,,21.6,18.3664185830783,39.9664185830783
12.5,101.24,1.96,-794.121464457096,204799.906859899,19988.1163575741,22.1975439106855,,-815.52231459426,205957.681862701,21099.2460523534,,24.5,22.1975439106855,46.6975439106855
13,99.38,1.86,-799.404444263792,205468.021433502,19440.7000430737,17.6798408439919,,-816.544246514805,206495.302031743,20438.1806413145,,24.18,17.6798408439919,41.8598408439919
13.5,99,1.7,-792.751831321514,204114.056793216,18931.4426149096,17.3983630054719,,-809.582334770129,205074.373353624,19891.7591753184,,22.95,17.3983630054719,40.3483630054719
14,100.98,1.78,-818.175417515114,210860.619336488,20267.4633340831,26.0011551828838,,-843.364739367174,211944.588745475,21351.4327430709,,24.92,26.0011551828838,50.9211551828838
14.5,101.54,1.24,-736.674325905671,190255.536816008,18696.9392843465,15.472582913928,,-751.828440257233,191062.779083682,19432.7815520202,,17.98,15.472582913928,33.452582913928
15,100.32,1.74,-879.303086326396,227323.463356786,21528.2702953316,23.7553151790426,,-902.741785077347,228428.493882699,22596.5008212442,,26.1,23.7553151790426,49.8553151790426
15.5,102.62,1.64,-874.222532530993,224673.991423298,22385.8825597537,27.5207135686579,,-900.998168316079,225757.231155017,23426.8130474213,,25.42,27.5207135686579,52.9407135686579
16,99.92,1.24,-787.445583839213,203425.819833357,19408.0757948225,15.398123479177,,-802.530447942072,204253.815710496,20217.5345429484,,19.84,15.398123479177,35.238123479177
16.5,102.04,1.46,-890.370549810943,228903.649264135,23137.275694601,22.041766673419,,-912.070871893503,229816.948212396,24050.5746428623,,24.09,22.041766673419,46.131766673419
17,102.44,1.3,-823.831774156667,211691.7466113,21255.0991089248,16.4765839238436,,-839.89169259821,212420.598009699,21983.9505073241,,22.1,16.4765839238436,38.5765839238436
17.5,100.7,1.16,-830.014877375731,213017.143701227,20779.8504594751,15.6252354612578,,-845.26767488511,213684.919854008,21447.6266122566,,20.3,15.6252354612578,35.9252354612578
18,100.06,1.06,-804.741254197351,207432.604518963,19692.7596714614,10.7070507783095,,-815.217505563816,208036.965835261,20297.1209877586,,19.08,10.7070507783095,29.7870507783095
18.5,100.6,0.64,-879.618075548711,227976.824600087,22282.9912529066,8.25700786354012,,-887.512641092983,228368.975829329,22675.1424821493,,11.84,8.25700786354012,20.0970078635401
19,99.42,0.94,-791.928048269146,202812.059618006,19360.5909085515,9.27615323978039,,-800.748832758412,203357.271321852,19905.8026123973,,17.86,9.27615323978039,27.1361532397804
19.5,102.04,0.74,-754.038711312877,193519.876714797,18907.8228498222,10.8858562167892,,-764.732203957027,194015.51971227,19403.4658472956,,14.43,10.8858562167892,25.3158562167892
