Scenario ,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,101.6,69.46,-1022.57195660235,289686.620413408,4060.05543566698,294.489507631997,,-1291.07591833262,326239.615501563,33044.1884010427,,0,294.489507631997,294.489507631997
0.5,99.38,59.1,-1055.36304661266,291369.841075087,5312.41239896273,247.956021916226,,-1274.42622099185,325179.114801598,32265.2001534013,,29.55,247.956021916226,277.506021916226
1,102.3,51.34,-1074.33291747207,290629.781467726,7608.70787375334,222.008580688386,,-1263.64131598772,322057.91826991,33102.0458578113,,51.34,222.008580688386,273.348580688386
1.5,102.46,41.76,-1137.65267816628,305870.568685693,9629.4234246074,191.468965887532,,-1298.73506891554,334682.026178509,33607.6546687204,,62.64,191.468965887532,254.108965887532
2,96.6,32.86,-1146.82870415451,307596.036946813,11802.9461815265,174.211743402645,,-1292.93112375967,330630.236888958,31550.6293459217,,65.72,174.211743402645,239.931743402645
2.5,99.78,27.8,-1127.73270778253,300644.138465635,13510.556933625,176.144929381951,,-1279.78267037491,321942.604984588,32097.128318207,,69.5,176.144929381951,245.644929381951
3,100.56,25.08,-1176.6037917184,314275.264199192,15424.0553263525,157.756552943254,,-1314.50581127442,335347.000464564,33969.6365877792,,75.24,157.756552943254,232.996552943254
3.5,100.12,20.6,-1145.41074721108,305337.974235662,16777.4092687581,160.412133378996,,-1288.59615023006,322393.535370123,32365.2629920268,,72.1,160.412133378996,232.512133378996
4,99.28,17.54,-1160.96758180037,309955.518306537,18279.0408031715,126.587934363098,,-1274.07082390725,325566.609476818,32497.6484092342,,70.16,126.587934363098,196.747934363098
4.5,99.66,14.78,-1189.55448523574,318033.104448983,20102.0166925137,121.289279893661,,-1299.42062454822,331647.471969302,32733.639043036,,66.51,121.289279893661,187.799279893661
5,99.74,13,-1146.46095651823,306135.527559928,20654.5285099188,108.619577848977,,-1248.91331558396,319261.757606676,32315.0309276062,,65,108.619577848977,173.619577848977
5.5,99.84,13.4,-1223.43797627115,324767.597581647,21429.6761516762,109.997921775337,,-1326.76584340818,337906.539214633,33572.7798201608,,73.7,109.997921775337,183.697921775337
6,99.84,11.66,-1197.06621979688,318397.277888681,22247.8163473849,100.099715290195,,-1290.21722352403,329442.127141859,32791.4130289821,,69.96,100.099715290195,170.059715290195
6.5,101.12,10.32,-1165.27373526664,308415.030481695,23046.5843842257,99.1096366413296,,-1260.95627058962,318645.401872662,32473.3350338334,,67.08,99.1096366413296,166.18963664133
7,100.72,9.56,-1224.88782164875,325475.861786318,24214.265745291,100.432467313279,,-1320.5557925605,335301.614592572,33612.2089354579,,66.92,100.432467313279,167.352467313279
7.5,100.08,8.92,-1205.49483149971,318643.398600218,23381.6206132322,82.1486963136143,,-1285.11241066665,327857.106876274,31936.5642388832,,66.9,82.1486963136143,149.048696313614
8,97.92,7.66,-1198.31855997015,317746.007120297,23792.3637679455,83.8446400761253,,-1279.27897874013,325523.940671157,31095.7046629984,,61.28,83.8446400761253,145.124640076125
8.5,98.78,7.12,-1168.5613407434,307826.551706955,25038.3845449428,86.8923094978343,,-1252.38126188831,314753.848915304,31734.4200138456,,60.52,86.8923094978343,147.412309497834
9,102.1,7,-1217.3003529746,321581.469378594,27618.0964637195,80.0847736761305,,-1294.33945915442,328638.066061846,34518.2273736344,,63,80.0847736761305,143.084773676131
9.5,98.46,6.08,-1205.91901231466,319322.488688695,26432.7933529802,75.1221265080917,,-1279.91642569417,325913.467636978,32572.9040399711,,57.76,75.1221265080917,132.882126508092
10,100.34,5.72,-1201.93046490878,317208.885771414,26045.1784547527,65.7111963010827,,-1265.20931679802,323007.551588856,31772.7442721949,,57.2,65.7111963010827,122.911196301083
10.5,100.32,5.82,-1212.31908735142,319065.04217689,27446.2712828475,59.8316928908795,,-1270.11904862521,325151.514805592,33390.4046376435,,61.11,59.8316928908795,120.941692890879
11,100.72,4.72,-1210.89904121729,318848.309395508,27339.2322823837,56.9571197992975,,-1265.88115661589,323779.558980631,32115.381867507,,51.92,56.9571197992975,108.877119799297
11.5,99.02,4.66,-1217.0868356374,321073.770079201,27468.4595253805,51.6972715029337,,-1266.98528901248,325881.800765566,32162.4424080555,,53.59,51.6972715029337,105.287271502934
12,100.26,4.32,-1213.7921640293,320191.896885182,28200.7667897367,61.7983282300477,,-1273.48123767864,324772.472086098,32781.3419906528,,51.84,61.7983282300477,113.638328230048
12.5,101.62,4.34,-1179.65883598476,310078.778777354,28394.5781559174,55.8907206816975,,-1234.92488667478,314825.047998016,32954.3535663436,,54.25,55.8907206816975,110.140720681698
13,98.62,4.34,-1241.73141584056,325821.05205267,27907.7231709417,62.8830668739248,,-1303.15182187422,330353.75919552,32346.2303137918,,56.42,62.8830668739248,119.303066873925
13.5,101.2,4.08,-1246.07973891061,326133.689915876,28692.0130962301,68.4566244172331,,-1313.46799935072,330456.696924349,32869.5667723185,,55.08,68.4566244172331,123.536624417233
14,99.64,4.14,-1256.99291058465,330468.79860911,28637.671024059,69.3927411690608,,-1325.66220508321,335077.338446393,33143.0468949662,,57.96,69.3927411690608,127.352741169061
14.5,98.8,3.26,-1239.63049070289,327051.354183825,28526.1475872279,45.3181779713814,,-1284.39858195599,330508.694193309,31846.3875967118,,47.27,45.3181779713814,92.5881779713814
15,101.98,3.74,-1237.97560505635,321722.189675084,29726.7755767862,60.8725707602745,,-1297.97548499958,325661.018831953,33630.0116881095,,56.1,60.8725707602745,116.972570760275
15.5,99.7,3.28,-1239.20766116193,323305.137735587,29198.3785046642,65.6164024880163,,-1304.09950670576,327016.0112386,32812.6698177677,,50.84,65.6164024880163,116.456402488016
16,100.02,3.08,-1244.15893293821,324747.096999923,29132.8097463177,55.515475620367,,-1298.90046834295,328240.958217776,32580.4493825924,,49.28,55.515475620367,104.795475620367
16.5,99.5,3.1,-1223.1944802008,317823.300699119,28762.3852601181,38.997306216402,,-1261.31653819307,321070.707093129,31985.372806018,,51.15,38.997306216402,90.147306216402
17,100.2,2.66,-1240.47715949907,323915.022983552,29831.0589358533,38.9975448109044,,-1279.11661652314,326935.024442643,32767.960394944,,45.22,38.9975448109044,84.2175448109044
17.5,100.56,2.86,-1264.35963098116,328573.935715713,29898.8659735844,41.5551769037897,,-1305.46198378035,331865.707873413,33097.686766931,,50.05,41.5551769037897,91.6051769037897
18,100.66,2.88,-1236.74395530473,320586.910275664,29421.1732550911,46.9373130523354,,-1282.97806907934,323505.835673667,32340.0986530941,,51.84,46.9373130523354,98.7773130523354
18.5,98.48,2.66,-1309.8931306122,342239.013254384,31675.2332768898,42.0378088397025,,-1351.73812150028,345296.996375721,34648.6163982273,,49.21,42.0378088397025,91.2478088397025
19,99.5,2.5,-1260.2733800235,326133.690753082,30999.4088725489,36.9713109398497,,-1296.46654263244,328874.771172611,33700.8892920781,,47.5,36.9713109398497,84.4713109398497
19.5,100.9,2.34,-1228.13156737455,317720.517980735,29582.6932207978,35.165609244452,,-1262.79715449241,320013.958696208,31847.6339362704,,45.63,35.165609244452,80.795609244452
